problem_id,difficulty,puzzle_text,solution_text,data_source,prompt,ability,reward_model,extra_info
ADV_0,1,"premises: ['((LN AND LN)) => LN', '(((NOT O) OR (NOT A))) => EN', '(LF) => EN', '(A) => A', '(((NOT A) OR (NOT A))) => EC', '(EN) => JA']
known_atoms: ['A']
goals: ['LN', 'A', 'AM']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) LN is unreachable
(2) A is reachable
(3) AM is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['((LN AND LN)) => LN', '(((NOT O) OR (NOT A))) => EN', '(LF) => EN', '(A) => A', '(((NOT A) OR (NOT A))) => EC', '(EN) => JA']\nknown_atoms: ['A']\ngoals: ['LN', 'A', 'AM']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) LN is unreachable\n(2) A is reachable\n(3) AM is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 0, 'split': 'train'}"
ADV_0,1,"premises: ['((NOT NO)) => NO', '((NOT J)) => F', '(((NOT G) OR (NOT J))) => G', '(((NOT H) OR (NOT K))) => NO', '(LA) => H', '(((NOT LA) OR (NOT J))) => J']
known_atoms: ['J', 'NO']
goals: ['NO', 'MI', 'I']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) NO is reachable
(2) MI is unreachable
(3) I is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['((NOT NO)) => NO', '((NOT J)) => F', '(((NOT G) OR (NOT J))) => G', '(((NOT H) OR (NOT K))) => NO', '(LA) => H', '(((NOT LA) OR (NOT J))) => J']\nknown_atoms: ['J', 'NO']\ngoals: ['NO', 'MI', 'I']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) NO is reachable\n(2) MI is unreachable\n(3) I is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 1, 'split': 'train'}"
ADV_0,1,"premises: ['(((NOT C) OR D)) => C', '((JB AND BO)) => D', '(D) => D', '(KF) => K', '(JB) => F', '(JB) => K', '((F OR (NOT F))) => KF', '((C AND (NOT FK))) => F', '(FK) => MI', '(((NOT BD) OR BD)) => BO', '(((NOT BO) AND (NOT BD))) => BD']
known_atoms: ['F', 'C', 'D']
goals: ['MI', 'BD', 'C']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) MI is unreachable
(2) BD is unreachable
(3) C is reachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['(((NOT C) OR D)) => C', '((JB AND BO)) => D', '(D) => D', '(KF) => K', '(JB) => F', '(JB) => K', '((F OR (NOT F))) => KF', '((C AND (NOT FK))) => F', '(FK) => MI', '(((NOT BD) OR BD)) => BO', '(((NOT BO) AND (NOT BD))) => BD']\nknown_atoms: ['F', 'C', 'D']\ngoals: ['MI', 'BD', 'C']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) MI is unreachable\n(2) BD is unreachable\n(3) C is reachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 2, 'split': 'train'}"
ADV_0,1,"premises: ['((GO AND (NOT GO))) => BN', '((O AND (NOT BM))) => K', '(((NOT O) OR (NOT O))) => O', '((NOT GO)) => GO', '(((NOT L) AND H)) => GO', '(((NOT FD) OR (NOT H))) => N', '(((NOT AK) AND OE)) => OE', '((O AND N)) => IB', '((BM AND D)) => D']
known_atoms: ['O', 'GO']
goals: ['O', 'OE', 'D']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) O is reachable
(2) OE is unreachable
(3) D is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['((GO AND (NOT GO))) => BN', '((O AND (NOT BM))) => K', '(((NOT O) OR (NOT O))) => O', '((NOT GO)) => GO', '(((NOT L) AND H)) => GO', '(((NOT FD) OR (NOT H))) => N', '(((NOT AK) AND OE)) => OE', '((O AND N)) => IB', '((BM AND D)) => D']\nknown_atoms: ['O', 'GO']\ngoals: ['O', 'OE', 'D']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) O is reachable\n(2) OE is unreachable\n(3) D is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 3, 'split': 'train'}"
ADV_4,1,"premises: ['(BE) => C', '(N) => ME', '((O AND BE)) => BE', '(((NOT N) AND (NOT N))) => N', '((BJ OR N)) => F', '(((NOT BE) AND G)) => KD']
known_atoms: ['N']
goals: ['O', 'C', 'ME']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) O is unreachable
(2) C is unreachable
(3) ME is reachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['(BE) => C', '(N) => ME', '((O AND BE)) => BE', '(((NOT N) AND (NOT N))) => N', '((BJ OR N)) => F', '(((NOT BE) AND G)) => KD']\nknown_atoms: ['N']\ngoals: ['O', 'C', 'ME']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) O is unreachable\n(2) C is unreachable\n(3) ME is reachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 4, 'split': 'train'}"
ADV_4,1,"premises: ['(CG) => EM', '((NOT E)) => D', '(((NOT E) AND (NOT KB))) => C', '(((NOT E) OR (NOT E))) => E', '(((NOT D) OR (NOT E))) => C']
known_atoms: ['D', 'E']
goals: ['E', 'L', 'OB']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) E is reachable
(2) L is unreachable
(3) OB is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['(CG) => EM', '((NOT E)) => D', '(((NOT E) AND (NOT KB))) => C', '(((NOT E) OR (NOT E))) => E', '(((NOT D) OR (NOT E))) => C']\nknown_atoms: ['D', 'E']\ngoals: ['E', 'L', 'OB']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) E is reachable\n(2) L is unreachable\n(3) OB is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 5, 'split': 'train'}"
ADV_4,1,"premises: ['(K) => KG', '(LD) => G', '(((NOT K) OR (NOT K))) => MJ', '(MJ) => K', '(((NOT CC) AND G)) => MJ', '(N) => N', '((K AND (NOT F))) => BJ', '((NOT K)) => K']
known_atoms: ['K']
goals: ['G', 'N', 'KG']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) G is unreachable
(2) N is unreachable
(3) KG is reachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['(K) => KG', '(LD) => G', '(((NOT K) OR (NOT K))) => MJ', '(MJ) => K', '(((NOT CC) AND G)) => MJ', '(N) => N', '((K AND (NOT F))) => BJ', '((NOT K)) => K']\nknown_atoms: ['K']\ngoals: ['G', 'N', 'KG']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) G is unreachable\n(2) N is unreachable\n(3) KG is reachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 6, 'split': 'train'}"
ADV_4,1,"premises: ['((EE AND EE)) => EE', '(OD) => OD', '((NOT ID)) => A', '((EE OR OD)) => IH', '(IH) => OD', '(((NOT OC) AND OC)) => MA', '(((NOT EE) AND (NOT EE))) => EE', '(EE) => EE']
known_atoms: ['EE', 'IH', 'OD']
goals: ['A', 'EE', 'MA']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) A is unreachable
(2) EE is reachable
(3) MA is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['((EE AND EE)) => EE', '(OD) => OD', '((NOT ID)) => A', '((EE OR OD)) => IH', '(IH) => OD', '(((NOT OC) AND OC)) => MA', '(((NOT EE) AND (NOT EE))) => EE', '(EE) => EE']\nknown_atoms: ['EE', 'IH', 'OD']\ngoals: ['A', 'EE', 'MA']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) A is unreachable\n(2) EE is reachable\n(3) MA is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 7, 'split': 'train'}"
ADV_8,1,"premises: ['(((NOT GG) OR L)) => L', '(OI) => B', '((DJ OR DG)) => DG', '((DG OR (NOT DJ))) => DG', '(DG) => CE']
known_atoms: ['DJ', 'OI', 'DG']
goals: ['D', 'CE', 'BI']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) D is unreachable
(2) CE is reachable
(3) BI is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['(((NOT GG) OR L)) => L', '(OI) => B', '((DJ OR DG)) => DG', '((DG OR (NOT DJ))) => DG', '(DG) => CE']\nknown_atoms: ['DJ', 'OI', 'DG']\ngoals: ['D', 'CE', 'BI']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) D is unreachable\n(2) CE is reachable\n(3) BI is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 8, 'split': 'train'}"
ADV_8,1,"premises: ['(((NOT EB) OR (NOT M))) => H', '(((NOT L) AND (NOT OO))) => OO', '(M) => M', '((M AND M)) => IM', '((NOT EB)) => M', '((NOT EB)) => L', '((NOT L)) => AI']
known_atoms: ['M']
goals: ['JE', 'IM', 'C']
For each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.","(1) JE is unreachable
(2) IM is reachable
(3) C is unreachable
",logic_assignment,"[{'content': ""<|im_start|>system\nYou are a helpful assistant. The assistant first thinks about the reasoning process in the mind and then provides the user with the final answer. The reasoning process and answer are enclosed within <think> </think> and <answer> </answer> tags, respectively, i.e. <think> reasoning process </think><answer> final answer </answer>.\nNow the user has a logical formula problem. After thorough thinking, once you reach a conclusion, please list the reachable judgement of each goal within <answer>...</answer> to satisfy the formulas, for example:\n<answer>\n(1) A is reachable\n(2) B is unreachable\n...</answer>.\n<|im_end|>\n<|im_start|>user\npremises: ['(((NOT EB) OR (NOT M))) => H', '(((NOT L) AND (NOT OO))) => OO', '(M) => M', '((M AND M)) => IM', '((NOT EB)) => M', '((NOT EB)) => L', '((NOT L)) => AI']\nknown_atoms: ['M']\ngoals: ['JE', 'IM', 'C']\nFor each goal, first assume it is true and determine what conditions must be satisfied. Identify which premises directly lead to these goals, then trace back what must be established to satisfy those premises. Finally, check whether the known atoms can lead to these conditions.\n<|im_end|>\n<|im_start|>assistant\n<think>"", 'role': 'user'}]",logic,"{'ground_truth': {'solution_text_format': '(1) JE is unreachable\n(2) IM is reachable\n(3) C is unreachable\n', 'statements': array([], dtype=object)}, 'style': 'rule'}","{'index': 9, 'split': 'train'}"
